topology,m,seed,status,wall_clock_s,column_count,oracle_calls,loewner_cut_count,iterations,objective,dual_bound,primal_dual_gap,relative_gap,min_contract_slack,pricing_violation,n_edges,max_degree,active_column_count,total_exposure
heavy_hex,100,2026,optimal,0.11073807100001432,20,20,9,20,0.8959999999999999,0.8960000000000052,-5.329070518200751e-15,-5.329070518200751e-15,0.0,2.3203661214665772e-14,111,3,7,0.8399999999999996
heavy_hex,100,3407,optimal,0.09389349499997479,20,20,9,20,0.8959999999999999,0.8960000000000052,-5.329070518200751e-15,-5.329070518200751e-15,0.0,2.3203661214665772e-14,111,3,7,0.8399999999999996
heavy_hex,100,9181,optimal,0.0627702860001591,20,20,9,20,0.8959999999999999,0.8960000000000052,-5.329070518200751e-15,-5.329070518200751e-15,0.0,2.3203661214665772e-14,111,3,7,0.8399999999999996
heavy_hex,200,2026,optimal,0.20318838499997582,22,22,9,22,0.962926829268292,0.9629268292682925,-5.551115123125783e-16,-5.551115123125783e-16,-4.440892098500626e-16,2.275957200481571e-15,228,3,8,0.8536585365853652
heavy_hex,200,3407,optimal,0.17345093699987046,22,22,9,22,0.962926829268292,0.9629268292682925,-5.551115123125783e-16,-5.551115123125783e-16,-4.440892098500626e-16,2.275957200481571e-15,228,3,8,0.8536585365853652
heavy_hex,200,9181,optimal,0.24174450400005298,22,22,9,22,0.962926829268292,0.9629268292682925,-5.551115123125783e-16,-5.551115123125783e-16,-4.440892098500626e-16,2.275957200481571e-15,228,3,8,0.8536585365853652
heavy_hex,300,2026,optimal,0.24786212699973476,18,18,9,18,1.0345762711864421,1.0345762711864426,-4.440892098500626e-16,-4.2924743416044654e-16,2.220446049250313e-16,4.6074255521944e-15,348,3,8,0.8779661016949164
heavy_hex,300,3407,optimal,0.28560957099989537,18,18,9,18,1.0345762711864421,1.0345762711864426,-4.440892098500626e-16,-4.2924743416044654e-16,2.220446049250313e-16,4.6074255521944e-15,348,3,8,0.8779661016949164
heavy_hex,300,9181,optimal,0.23790174599980674,18,18,9,18,1.0345762711864421,1.0345762711864426,-4.440892098500626e-16,-4.2924743416044654e-16,2.220446049250313e-16,4.6074255521944e-15,348,3,8,0.8779661016949164
heavy_hex,500,2026,optimal,1.733630042999721,35,35,35,35,1.1045871559633058,1.1045871559633043,1.5543122344752192e-15,1.4071431358621132e-15,-1.1102230246251565e-15,4.08006961549745e-15,583,3,7,0.8091743119266083
heavy_hex,500,3407,optimal,1.6300719409996418,35,35,35,35,1.1045871559633058,1.1045871559633043,1.5543122344752192e-15,1.4071431358621132e-15,-1.1102230246251565e-15,4.08006961549745e-15,583,3,7,0.8091743119266083
heavy_hex,500,9181,optimal,1.665193113999976,35,35,35,35,1.1045871559633058,1.1045871559633043,1.5543122344752192e-15,1.4071431358621132e-15,-1.1102230246251565e-15,4.08006961549745e-15,583,3,7,0.8091743119266083
